persona,interest_EUPolitics,interest_crimes,interest_israelPalestine,interest_immigration,interest_sports,interest_war,interest_climateChange,interest_showArts,interest_covid,interest_britishBrexit,interest_instAbuse,interest_spaceTravel,interest_protests,interest_terrorism,interest_USPolitics,interest_naturalDisasters,interest_elections,interest_economy,distressed_EUPolitics,distressed_crimes,distressed_israelPalestine,distressed_immigration,distressed_sports,distressed_war,distressed_climateChange,distressed_showArts,distressed_covid,distressed_britishBrexit,distressed_instAbuse,distressed_spaceTravel,distressed_protest,distressed_terrorism,distressed_USPolitics,distressed_naturalDisasters,distressed_elections,distressed_economy,guard_suicide,guard_accidents,guard_selfHarm,guard_depression,guard_racism,guard_eatingDisorders
1,0.3870967741935484,0.5161290322580645,0.06451612903225806,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.41935483870967744,0.2903225806451613,0.22580645161290322,0.0967741935483871,0.06451612903225806,0.25806451612903225,0.22580645161290322,0.03225806451612903,0.1935483870967742,0.3548387096774194,0.1935483870967742,0.45161290322580644,25.129032258064516,57.0,29.483870967741936,39.38709677419355,3.032258064516129,50.54838709677419,46.935483870967744,4.096774193548387,46.774193548387096,10.903225806451612,28.032258064516128,5.419354838709677,33.806451612903224,53.58064516129032,17.806451612903224,48.935483870967744,15.096774193548388,30.774193548387096,62.29032258064516,33.38709677419355,61.0,39.12903225806452,27.70967741935484,33.354838709677416
2,0.2,0.6571428571428571,0.05714285714285714,0.2,0.37142857142857144,0.2,0.3142857142857143,0.3142857142857143,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.11428571428571428,0.22857142857142856,0.22857142857142856,0.11428571428571428,0.34285714285714286,0.11428571428571428,0.5428571428571428,6.0285714285714285,11.82857142857143,9.085714285714285,9.057142857142857,6.142857142857143,13.971428571428572,15.457142857142857,6.171428571428572,7.314285714285714,0.8571428571428571,1.6571428571428573,3.5142857142857142,7.514285714285714,27.314285714285713,2.6857142857142855,15.457142857142857,2.657142857142857,12.742857142857142,9.714285714285714,5.8,4.9714285714285715,0.8,3.0285714285714285,0.6857142857142857
3,0.6666666666666666,0.5925925925925926,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.37037037037037035,0.6296296296296297,0.5555555555555556,0.18518518518518517,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.48148148148148145,0.3333333333333333,0.4074074074074074,0.5555555555555556,0.5185185185185185,0.4444444444444444,64.18518518518519,63.111111111111114,60.851851851851855,58.22222222222222,4.851851851851852,78.07407407407408,76.03703703703704,10.777777777777779,53.407407407407405,28.14814814814815,72.55555555555556,17.59259259259259,58.7037037037037,74.81481481481481,53.407407407407405,78.22222222222223,48.74074074074074,53.111111111111114,13.518518518518519,8.962962962962964,10.62962962962963,6.148148148148148,6.888888888888889,9.25925925925926
4,0.4482758620689655,0.5172413793103449,0.06896551724137931,0.2413793103448276,0.3103448275862069,0.41379310344827586,0.5517241379310345,0.3448275862068966,0.27586206896551724,0.10344827586206896,0.2413793103448276,0.27586206896551724,0.41379310344827586,0.41379310344827586,0.2413793103448276,0.5862068965517241,0.4827586206896552,0.3103448275862069,22.413793103448278,35.3448275862069,15.689655172413794,20.06896551724138,7.586206896551724,47.758620689655174,64.82758620689656,12.620689655172415,50.172413793103445,5.862068965517241,26.862068965517242,1.0689655172413792,21.17241379310345,47.55172413793103,27.17241379310345,53.6551724137931,30.586206896551722,37.758620689655174,6.896551724137931,8.89655172413793,6.068965517241379,1.4827586206896552,2.7241379310344827,7.137931034482759
5,0.5,0.25,0.125,0.1875,0.375,0.1875,0.5625,0.5,0.1875,0.0625,0.5625,0.0625,0.4375,0.1875,0.5625,0.625,0.3125,0.5,52.1875,72.125,57.6875,51.875,17.5625,58.4375,84.125,23.5625,57.75,23.625,77.9375,12.5,63.5,74.875,85.125,65.875,52.0,56.8125,64.25,41.5,80.375,54.6875,44.875,50.1875
