,persona0,persona1,persona2,persona3,persona4
0,0.3158299218973806,0.3886245075958116,0.37147931818388125,0.3757531747633013,0.27596988452225923
1,0.35375061825494614,0.4467086053013801,0.3891169589879335,0.4078302323160501,0.27767792686633763
2,0.27318447922218225,0.3183881218782493,0.3306512802971734,0.34500562281033087,0.2891479072980583
3,0.33176457765410017,0.3785689730576106,0.43926414953337767,0.43164433262060425,0.4231102150417865
4,0.40104947923268036,0.3557394601779324,0.3963190110403078,0.40749149990698386,0.3356716527100652
5,0.28310298697794634,0.361566806317653,0.3532026604485732,0.41238298252019384,0.24483138121385128
6,0.280867458428106,0.2837259865232876,0.39967447083526186,0.4089944909214973,0.3228472790718079
7,0.3184419930940193,0.3603104228626404,0.3978740442883637,0.41883404264059554,0.37183367830794295
8,0.4774042835134652,0.6587754558848483,0.5302619461395123,0.533811280482802,0.28638125424273314
9,0.3247328046901572,0.3674655059716531,0.3970623267999402,0.4515669064732461,0.44189591824170205
10,0.297560055451047,0.36067841507281573,0.3745691655234054,0.37916473227636566,0.37622634701617064
11,0.2868348244137821,0.28600402384336504,0.3170492854515712,0.2913502079682617,0.30980281360587103
12,0.37411737668514256,0.4261444487077849,0.5209966350374399,0.4160963542625822,0.48399749637022615
13,0.21675321161458572,0.2197172152193529,0.2408379585991303,0.24313690606761593,0.22784479095041751
14,0.39161034617957563,0.48385172427254064,0.4771592598918963,0.47552941377255425,0.3606754886987619
15,0.44740211424231535,0.6179823425467525,0.4937418413763797,0.488317843048737,0.262621990702115
16,0.4156547047683308,0.39793471742868425,0.4781981862314322,0.44719517653050095,0.41813726909551774
17,0.3050976200776715,0.3159953267174108,0.3530614869009565,0.3687990701301344,0.3131124941613525
18,0.3055941826657903,0.3412218745321035,0.359300455029364,0.41534111620691305,0.3838653960963711
19,0.38655795717527786,0.4003797348431178,0.47387397926328356,0.399033338755883,0.4312140092570334
20,0.36627553678880775,0.4139400780637349,0.467641891553998,0.5031565280438497,0.5133974051903933
21,0.33343095299601555,0.3880758036323956,0.3655201694391392,0.37912950447201726,0.36788702001422646
22,0.2404885562485264,0.28066229624492783,0.3221068554156356,0.31263778316563573,0.28980277998372916
23,0.3346638168788725,0.3165270626957927,0.3893732954523077,0.35089968903619667,0.35417551975324746
24,0.3899861019433986,0.38066714115142813,0.45488371575375397,0.3979074793910158,0.3980863135084509
25,0.3875720741825719,0.3789675769107682,0.42213073798020684,0.3818180799319826,0.37219280510954555
